Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Tunisia,TUN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,48.1907,,,,,,,,,,,,,,,,,,,,74.297,,,77.1904,77.56113,,79.13058,79.65391,80.21875,,79.03643,,,,,,
Tunisia,TUN,"Human capital index (HCI), upper bound (scale 0-1)",HD.HCI.OVRL.UB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.518,,,
Tunisia,TUN,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.942,6.97,6.993,7.009,7.015,7.008,6.984,6.942,6.881,6.802,6.705,6.591,6.465,6.33,6.189,6.042,5.89,5.733,5.572,5.408,5.243,5.078,4.915,4.752,4.59,4.425,4.252,4.07,3.878,3.678,3.476,3.276,3.085,2.907,2.747,2.606,2.485,2.379,2.287,2.208,2.142,2.088,2.046,2.016,1.997,1.991,1.999,2.02,2.054,2.095,2.14,2.182,2.216,2.24,2.252,2.251,2.238,2.219,2.197,,
Tunisia,TUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,42.021,42.656,43.351,44.11,44.932,45.821,46.78,47.804,48.882,50.001,51.145,52.299,53.452,54.59,55.704,56.794,57.866,58.928,59.979,61.01,61.999,62.924,63.769,64.53,65.211,65.831,66.414,66.989,67.574,68.176,68.792,69.407,70.001,70.555,71.062,71.517,71.921,72.282,72.608,72.904,73.172,73.415,73.638,73.842,74.034,74.217,74.391,74.558,74.72,74.88,75.041,75.206,75.376,75.552,75.734,75.922,76.115,76.31,76.505,,
Tunisia,TUN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,,,182.1,173.4,165,156.9,149.1,141.8,134.7,128,121.6,115.8,110.2,104.7,99.2,93.6,88.1,82.8,77.8,73.2,69.1,65.4,62.1,59.1,56.2,53.5,51.1,48.9,46.8,45,43.3,41.6,39.9,38.2,36.4,34.5,32.5,30.5,28.6,26.7,25,23.5,22.1,20.9,19.8,18.8,18,17.2,16.6,16.2,15.8,15.5,15.2,15,14.9,14.8,14.7,14.7,14.6,,
Tunisia,TUN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,23.264,22.679,22.047,21.364,20.633,19.854,19.028,18.164,17.277,16.384,15.503,14.65,13.838,13.073,12.362,11.701,11.081,10.489,9.918,9.37,8.857,8.398,8.003,7.677,7.416,7.204,7.022,6.848,6.668,6.476,6.275,6.073,5.889,5.735,5.615,5.531,5.484,5.466,5.47,5.493,5.53,5.579,5.639,5.706,5.776,5.849,5.922,5.995,6.067,6.135,6.194,6.241,6.274,6.294,6.301,6.298,6.287,6.274,6.262,,
Tunisia,TUN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,45.486,45.418,45.3,45.118,44.861,44.507,44.039,43.459,42.784,42.034,41.243,40.454,39.699,39.001,38.368,37.795,37.263,36.735,36.184,35.594,34.962,34.294,33.599,32.881,32.13,31.322,30.428,29.436,28.35,27.187,25.975,24.751,23.557,22.432,21.401,20.479,19.668,18.949,18.311,17.759,17.297,16.934,16.672,16.511,16.448,16.494,16.664,16.947,17.316,17.734,18.149,18.506,18.763,18.892,18.874,18.707,18.405,18.01,17.564,,
Tunisia,TUN,Refugee population by country or territory of origin,SM.POP.REFG.OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,63,86,104,212,333,406,698,932,1240,1207,1368,2543,2563,2518,3129,2845,2507,2349,2260,2174,1952,1935,1363,1485,1567,1700,1806,1999,,
Tunisia,TUN,Net migration,SM.POP.NETM,,,-142495,,,,,-96523,,,,,-97065,,,,,-72068,,,,,85582,,,,,48999,,,,,140341,,,,,-39804,,,,,-143045,,,,,-40641,,,,,-150000,,,,,-20000,,,
Tunisia,TUN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6309995651245,15.7189998626709,15.8920001983643,15.9250001907349,15.9340000152588,15.9610004425049,15.9399995803833,15.5279998779297,15.210000038147,14.9399995803833,14.3999996185303,14.5500001907349,14.5100002288818,14.2299995422363,12.8719997406006,12.5100002288818,12.3649997711182,12.4429998397827,13.289999961853,13.048999786377,18.3339996337891,17.6299991607666,15.9340000152588,15.0579996109009,15.2180004119873,15.5139999389648,15.378999710083,15.4589996337891,16.0219993591309,
Tunisia,TUN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1299991607666,,,,,,,,15.9399995803833,,15.210000038147,14.9399995803833,14.3999996185303,14.5500001907349,14.5100002288818,14.2299995422363,12.872200012207,12.5101003646851,12.364800453186,12.4434995651245,13.2904996871948,13.0488996505737,18.3339996337891,17.6296005249023,15.9337997436523,,15.1591997146606,15.5142002105713,15.3793001174927,15.4586000442505,,
Tunisia,TUN,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,8.9000000000001,7.25436179981637,6.16438356164367,8.22580645161294,7.19696969696953,7.74088603961338,6.54529307282412,8.19371509544086,5.82434514637906,3.97495631916132,4.73323063996598,6.24415028747145,3.72514472690712,3.65202620723071,3.12536579655865,2.69012485811578,2.96230794738606,1.98333333333338,2.72103284850454,2.7125924747435,3.63228004956626,2.01778641357149,3.22525337438917,2.9669443247735,4.34502807623041,3.66490330642925,3.33897963601065,3.24002842009523,4.61184432206646,5.31623531326693,4.62555099534024,4.437371273215,3.62939937384383,5.30884839565841,7.3075917603165,,
Tunisia,TUN,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3301000595093,12.4781999588013,13.4561996459961,13.4259996414185,14.0306997299194,13.7039003372192,20.5666999816895,20.9624996185303,16.2467002868652,,16.3255004882813,,,,,
Tunisia,TUN,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35000038146973,,,28.6399993896484,,,,,,,,14.270299911499,12.9847002029419,11.4250001907349,10.5524997711182,10.4070997238159,9.23849964141846,12.4132995605469,12.1559000015259,9.90970039367676,,8.84780025482178,,,,,
